,Nuclide,G,X,AQ,B+,B-,IE,AE,A,AR,FF,N
109,Ba-131,0.44453284770023993,0.03181378642283345,0.0,0.0,0.0,0.037025823577007094,0.008486202486073601,0.0,0.0,0.0,0.0
110,Ba-131m,0.060771844545,0.01657018448748106,0.0,0.0,0.0,0.10302192742199999,0.007150251143669449,0.0,0.0,0.0,0.0
111,Ba-133,0.363419009265,0.039535378185188354,0.0,0.0,0.0,0.04423000240014831,0.011087824835528939,0.0,0.0,0.0,0.0
112,Ba-133m,0.049343912898167995,0.019220996399643822,0.0,0.0,0.0,0.21654274878476248,0.009383016203918976,0.0,0.0,0.0,0.0
113,Ba-135m,0.04182242808600001,0.018409611150494748,0.0,0.0,0.0,0.20281900371869999,0.005174797833262266,0.0,0.0,0.0,0.0
114,Ba-137m,0.593766360201,0.0025510475788165714,0.0,0.0,0.0,0.064676544902592,0.0006635191793086641,0.0,0.0,0.0,0.0
115,Ba-139,0.044007557993910006,0.001728939898222921,0.0,0.0,0.8924703732068976,0.008352552038731463,0.00042419368018713167,0.0,0.0,0.0,0.0
116,Ba-140,0.1808385372087244,0.0018061286281001322,0.0,0.0,0.28304277283359996,0.030562082572857807,0.006621948598538879,0.0,0.0,0.0,0.0
117,Ba-141,0.9234184320399996,0.003688249951526194,0.0,0.0,0.9360883592872139,0.0254265882668792,0.00090714430285973,0.0,0.0,0.0,0.0
118,Ba-142,1.038857782248352,0.008075813647470146,0.0,0.0,0.39021204814185995,0.021873834948157055,0.002023952844276442,0.0,0.0,0.0,0.0
119,Be-10,0.0,0.0,0.0,0.0,0.252473,0.0,0.0,0.0,0.0,0.0,0.0
120,Be-7,0.049861753200000004,0.0,0.0,0.0,0.0,3.63946667159e-08,0.0,0.0,0.0,0.0,0.0
121,Bi-197,1.4549565939999998,0.05645481327199584,0.18779505500000002,0.22532440858653202,0.0,0.05120743351619936,0.01214921136366138,0.0,0.0,0.0,0.0
122,Bi-200,2.2150733462459997,0.08007358434363623,0.140375277,0.16522832654105998,0.0,0.06842353659251096,0.01328361333806052,0.0,0.0,0.0,0.0
123,Bi-201,1.6384053318336005,0.06810518521508607,0.023905601999999998,0.019077038423307123,0.0,0.03043717946506153,0.011657733696534263,0.0,0.0,0.0,0.0
124,Bi-202,2.60558617570019,0.07160553598068817,0.07893723600000001,0.079562349941324,0.0,0.06019063451363272,0.01171330382720855,0.0,0.0,0.0,0.0
125,Bi-203,2.3109551845840115,0.07137512803605857,0.00266112448,0.0015461068240086,0.0,0.06725083790562547,0.0121025268000261,0.0,0.0,0.0,0.0
126,Bi-204,2.8376275432964504,0.076365412267739,0.00215715073,0.00107310987198424,0.0,0.06622493748753175,0.013362034923410742,0.0,0.0,0.0,0.0
127,Bi-205,1.628561071285537,0.061181688855589306,0.0015622445300000002,0.00072991200332071,0.0,0.02214774759079659,0.01171816174483145,0.0,0.0,0.0,0.0
